,Embedding1,Embedding2,Embedding3
Data/test/6964/spoof/494405.png,-0.6593319177627563,0.7466972470283508,-0.08788995444774628
Data/test/6407/spoof/494411.png,-0.8134759664535522,0.46811947226524353,0.3451390564441681
Data/test/6153/spoof/494412.png,-0.8117976188659668,0.3292596638202667,0.48225802183151245
Data/test/6411/live/494418.png,-0.58321613073349,0.7863655686378479,-0.20368637144565582
Data/test/6336/spoof/494419.png,0.12249638885259628,0.6375463008880615,-0.7606111764907837
Data/test/5162/live/494421.png,-0.8154577016830444,0.37058568000793457,0.4446289837360382
Data/test/6074/live/494424.png,-0.7624453902244568,0.634330689907074,0.12767794728279114
Data/test/7483/live/494428.png,-0.5269215703010559,0.8034583926200867,-0.27714303135871887
Data/test/9735/spoof/494436.png,-0.2870965898036957,-0.5182250738143921,0.8056166768074036
Data/test/4943/live/494437.png,-0.5488376617431641,0.7978211045265198,-0.24951696395874023
Data/test/6617/spoof/494438.png,-0.812778890132904,0.47449928522109985,0.337995320558548
Data/test/6178/live/494439.png,-0.5485489368438721,0.7979018688201904,-0.2498934119939804
Data/test/6399/spoof/494442.png,-0.42343074083328247,0.816035270690918,-0.39343711733818054
Data/test/10047/spoof/494443.png,-0.7750005722045898,0.6101808547973633,0.1644795536994934
Data/test/6441/spoof/494449.png,-0.7267979979515076,0.04113194718956947,0.6856185793876648
Data/test/7193/spoof/494455.png,-0.808207094669342,0.3031569719314575,0.5048734545707703
Data/test/5567/live/494456.png,-0.46059903502464294,0.8139881491661072,-0.35393768548965454
Data/test/5023/spoof/494457.png,-0.7367499470710754,0.06352416425943375,0.6731747388839722
Data/test/6313/spoof/494458.png,-0.06471090763807297,-0.6724433898925781,0.7373143434524536
Data/test/6843/spoof/494468.png,-0.7024736404418945,-0.009142586030066013,0.7116510272026062
Data/test/6657/live/494469.png,-0.49672600626945496,-0.31276726722717285,0.8095924258232117
Data/test/4996/live/494473.png,-0.690907895565033,-0.03128405660390854,0.7222655415534973
Data/test/6506/spoof/494476.png,0.788221538066864,-0.5784265995025635,-0.21007040143013
Data/test/6144/spoof/494477.png,-0.8055304884910583,0.2868765890598297,0.5184808969497681
Data/test/6293/spoof/494481.png,0.8029356598854065,-0.27348050475120544,-0.5296250581741333
Data/test/9217/spoof/494483.png,-0.6690191626548767,0.739814817905426,-0.07132573425769806
Data/test/6248/spoof/494484.png,0.6300111413002014,0.13444945216178894,-0.7648590207099915
Data/test/6441/spoof/494489.png,-0.6950541138648987,0.7185565829277039,-0.024005742743611336
Data/test/7306/live/494491.png,0.21010684967041016,-0.7881804704666138,0.5784692764282227
Data/test/5228/live/494497.png,-0.20108135044574738,0.7855063676834106,-0.585274338722229
Data/test/5206/live/494500.png,-0.46393850445747375,0.813664436340332,-0.35030150413513184
Data/test/6172/spoof/494503.png,0.8157067894935608,-0.3794299066066742,-0.43664097785949707
Data/test/6656/spoof/494504.png,-0.8141809701919556,0.3527759611606598,0.46114903688430786
Data/test/6239/spoof/494507.png,-0.8113146424293518,0.485808402299881,0.32520562410354614
Data/test/9680/spoof/494508.png,-0.6807554960250854,-0.05000174418091774,0.7308021783828735
